Id, Title, Year, Num_Citiation, Authors, Fields_of_Study, 
2163925089, Clutter Reduction in Multi-Dimensional Data Visualization Using Dimension Reordering,2004,190, Wei Peng; Matthew O. Ward; Elke A. Rundensteiner, Data mining; Computer science; Similarity measure; Order dimension; Visualization; Data visualization; Clutter; Computer vision; Creative visualization; Information visualization; Artificial intelligence; Graphical user interface, 
2163925811, Multimodal exploration of the fourth dimension,2005,13, Andrew J. Hanson; Hui Zhang, Point of interest; Computer vision; 3D computer graphics; Sensory cue; Data visualization; Computer graphics (images); Visualization; Haptic technology; Distortion; Stylus; Artificial intelligence; Computer science, 
2111137294, Compatible Triangulations of Spatial Decompositions,2004,14, William J. Schroeder; Berk Geveci; Mathieu Malaterre, Theoretical computer science; Triangulation (social science); Isosurface; Volume mesh; Mesh generation; Delaunay triangulation; Unstructured grid; Polygon mesh; Jump-and-Walk algorithm; Computer science, 
2045648984, Efficient compression of non-manifold polygonal meshes,1999,12, André Guéziec; Frank Bossen; Gabriel Taubin; Cláudio T. Silva, Theoretical computer science; Manifold; Decoding methods; Computational geometry; Polygon; Vertex (geometry); Polygon mesh; Image stitching; Cluster analysis; Mathematics, 
2111170876, Accelerating large data analysis by exploiting regularities,2003,1, David S. Ellsworth; Patrick J. Moran, Theoretical computer science; Rigid transformation; Data model; Curvilinear coordinates; Scientific visualization; Ranging; Data set; Data modeling; Polygon mesh; Computer science, 
2111191387, BLaC-Wavelets: a multiresolution analysis with non-nested spaces,1996,38, Georges-Pierre Bonneau; Stefanie Hahmann; Gregory M. Nielson, Algorithm; Nested set model; Theoretical computer science; Wavelet transform; Wavelet; Computer aided surgery; Visualization; Function space; Mathematical optimization; Multiresolution analysis; Computer graphics; Computer science, 
2164008124, An extended data-flow architecture for data analysis and visualization,1995,128, Greg Abram; Lloyd A. Treinish, Software visualization; Computer vision; Visualization; Data model; Visual analytics; Interactive visual analysis; Data modeling; Data flow diagram; Artificial intelligence; Information visualization; Computer science, 
2164041330, Scalable alignment of large-format multi-projector displays using camera homography trees,2002,152, Han Chen; Rahul Sukthankar; Grant Wallace; Kai Li, Display resolution; Pixel; Computer vision; Camera resectioning; Projector; Machine vision; Camera auto-calibration; Large format; Artificial intelligence; Image resolution; Computer science, 
2164042211, Interactive Terascale Particle Visualization,2004,33, David S. Ellsworth; Bryan Green; Patrick J. Moran, , 
2111263072, Cluster and calendar based visualization of time series data,1999,295, J.J. van Wijk; E.R. van Selow, Computer science; Time series; Data mining; Data visualization; Seasonality; Visualization; Graph; Information visualization; Univariate, 
2111298982, Computed tomography angiography: a case study of peripheral vessel investigation,2001,52, Armin Kanitsar; Dominik Fleischmann; Rainer Wegenkittl; Dominique Sandner; Petr Felkel; Eduard Gröller, Computer vision; Stenosis; Computed tomography angiography; Peripheral; Image segmentation; Artificial intelligence; Radiology; Medical imaging; Computer science, 
2164110040, Defining computing and visualizing molecular interfaces,1995,23, Amitabh Varshney; Frederick P. Brooks; David C. Richardson; William V. Wright; Dinesh Manocha, Molecular biophysics; Theoretical computer science; Parametrization; Molecule; Complementarity (molecular biology); Atom; Computer science, 
2111347866, NodeTrix: a Hybrid Visualization of Social Networks,2007,308, Nathalie Henry; Jean-Daniel Fekete; Michael J. McGuffin, Theoretical computer science; Computer vision; Data visualization; Visualization; Animation; Sparse matrix; Social network; Interaction technique; Data structure; Graph drawing; Artificial intelligence; Machine learning; Computer science, 
2164191390, Smooth view-dependent level-of-detail control and its application to terrain rendering,1998,465, Hugues Hoppe, Theoretical computer science; Rendering (computer graphics); Computer vision; Terrain; Triangle mesh; Real-time rendering; Viewing frustum; Artificial intelligence; Terrain rendering; Level of detail; Polygon mesh; Computer science, 
2111400107, Hypothesis Generation in Climate Research with Interactive Visual Data Exploration,2008,43, Johannes Kehrer; F. Ladstädter; Philipp Muigg; Helmut Doleisch; Andrea K. Steiner; Helwig Hauser, Computer vision; Data exploration; Robustness (computer science); Data visualization; Data mining; Visualization; Interactive visualization; Generalization; Artificial intelligence; Climate change; Climate model; Computer science, 
2164223342, ClusterSculptor: A Visual Analytics Tool for High-Dimensional Data,2007,41, Eun Ju Nam; Yiping Han; Klaus Mueller; Alla Zelenyuk; Dan G. Imre, Data mining; Clustering high-dimensional data; Computer science; Data classification; Data visualization; Visual analytics; k-means clustering; Spatial relation; Dendrogram; Machine learning; Cluster analysis; Artificial intelligence, 
2111421274, The Perceptual Scalability of Visualization,2006,65, Beth Yost; Chris North, Display size; Computer vision; Workload; Scalability; Multidimensional systems; Visualization; Data visualization; Scaling; Artificial intelligence; Information visualization; Computer science, 
2164235114, Reconstructing manifold and non-manifold surfaces from point clouds,2005,16, Jianning Wang; Manuel M. Oliveira; Arie E. Kaufman, Point cloud; Iterative reconstruction; Parallelizable manifold; Voxel; Computer vision; Mesh generation; Computational geometry; Manifold; Artificial intelligence; Surface reconstruction; Mathematics, 
2164238335, Hierarchical triangulation using terrain features,1990,19, Lori L. Scarlatos; Theo Pavlidis, , 
2164244016, A taxonomy of visualization techniques using the data state reference model,2000,361, Ed H. Chi, Data mining; Operator (computer programming); Computer science; Data domain; Reference model; Geographic information system; Data visualization; Information visualization reference model; Data modeling; Information visualization, 
2111452541, Vector plots for irregular grids,1995,26, Don Dovey, , 
2111465995, Discretized Marching Cubes,1994,142, Claudio Montani; Riccardo Scateni; Roberto Scopigno, Isosurface; Computational geometry; Geometric modeling; Polygon; Interpolation; Discretization; Mathematical optimization; Smoothing group; Mathematics; Marching cubes, 
2111495777, VisBricks: Multiform Visualization of Large Inhomogeneous Data,2011,34, Alexander Lex; Hans-Jörg Schulz; Marc Streit; Christian Partl; Dieter Schmalstieg, Theoretical computer science; Interactive visual analysis; Data visualization; Data mining; Visual analytics; Impression; Visualization; Scientific visualization; Information visualization; Computer science, 
2045869782, Basic research for coloring multichannel MRI data,2000,9, Shigeru Muraki; Toshiharu Nakai; Yasuyo Kita, Artificial intelligence; Voxel; Computer vision; Independent component analysis; Artificial neural network; Transfer function; Data visualization; Radial basis function network; Data set; Computer science, 
2111566296, Case study: an empirical investigation of thumbnail image recognition,1995,7, C. A. Burton; L. J. Johnston; E. A. Sonenberg, , 
2164429073, Graphical encoding for information visualization: an empirical study,2002,36, Lucy T. Nowell; Robert S. Schulman; Deborah Hix, , 
2111637035, Adaptive design of a global opacity transfer function for direct volume rendering of ultrasound data,2003,29, Dieter Hönigmann; Johannes Ruisz; Christoph Haider, , 
2164489322, Artificial Defocus for Displaying Markers in Microscopy Z-Stacks,2011,5, Alessandro Giusti; Pierluigi Taddei; Giorgio Corani; Luca Maria Gambardella; Cristina Magli; Luca Gianaroli, , 
2164539143, Rendering Implicit Flow Volumes,2004,15, Daqing Xue; Caixia Zhang; Roger Crawfis, , 
2111794246, An evaluation of reconstruction filters for volume rendering,1994,222, Stephen R. Marschner; Richard J. Lobb, Computer vision; Nearest-neighbor interpolation; Multivariate interpolation; Interpolation; Demosaicing; Reconstruction filter; Stairstep interpolation; Bilinear interpolation; Mathematical optimization; Artificial intelligence; Computer science; Trilinear interpolation, 
1581117166, Managing software with new visual representations,1997,10, Mei C. Chuah; Stephen G. Eick, Data science; Data mining; Computer science; Data visualization; Data type; Resource (project management); Visual programming language; Project management; Software; Scheduling (computing); Glyph, 
2164616135, Interactive Visual Analysis of Multiple Simulation Runs Using the Simulation Model View: Understanding and Tuning of an Electronic Unit Injector,2010,26, Kresimir Matkovic; Denis Gracanin; Mario Jelovic; Andreas Ammer; Alan Lez; Helwig Hauser, Time series; Simulation; Theoretical computer science; Computer vision; Subject-matter expert; Data visualization; Interactive visual analysis; Visualization; Data modeling; Level of detail; Artificial intelligence; Computer science; Phenomenon, 
2111871057, Projecting Tetrahedra without Rendering Artifacts,2004,31, Martin Kraus; Wei Qiao; David S. Ebert, Computer vision; Theoretical computer science; Volume rendering; Rendering (computer graphics); Computer graphics (images); Real-time rendering; Volume mesh; 3D rendering; Texture memory; Alternate frame rendering; Artificial intelligence; Computer science; Tiled rendering, 
2164688389, Tensor product surfaces guided by minimal surface area triangulations,1995,9, John K. Johnstone; Kenneth R. Sloan, Tensor; Bézier surface; Mesh generation; Triangulation (social science); Compatibility (mechanics); Minimal surface; Mathematical optimization; Surface triangulation; Mathematics; Topology; Tensor product, 
2111887035, Multiple foci drill-down through tuple and attribute aggregation polyarchies in tabular data,2002,22, Nathan Conklin; Sandeep Prabhakar; Chris North, Data mining; Drill down; Tuple; Computer science; Database; Data visualization; Visualization; Metadata; Table (information); Hierarchy; Focus (geometry), 
2111916870, A scalable framework for information visualization,2000,47, Matthias Kreuseler; Norma Lopez; Heidrun Schumann, , 
1581627361, Evaluating the Effect of Style in Information Visualization,2012,35, A. Vande Moere; Martin Tomitsch; Christoph Wimmer; B. Christoph; Thomas Grechenig, Data visualization; Computer vision; Artificial intelligence; Visualization; Data mining; Ranging; Usability; Spite; Information visualization; User experience design; Computer science; Text mining, 
2046193218, An adaptive parameter space-filling algorithm for highly interactive cluster exploration,2012,5, Zafar Ahmed; Chris Weaver, , 
2165003530, Distributed data management for large volume visualization,2005,36, Jinzhu Gao; Jian Huang; C.R. Johnson; S. Atchley, Theoretical computer science; Data mining; Data visualization; Data warehouse; Data management; Data access; Data efficiency; Distributed database; Computer science; Distributed data store; Data structure, 
2046252734, Spatially Ordered Treemaps,2008,100, Jo Wood; Jason Dykes, , 
2112250557, Document Cards: A Top Trumps Visualization for Documents,2009,60, Hendrik Strobelt; Daniela Oelke; Christian Rohrdantz; Andreas Stoffel; Daniel A. Keim; Oliver Deussen, Display device; Data mining; Document Structure Description; Color histogram; Search engine; Visualization; Information retrieval; Data visualization; Heuristic; Text mining; Computer science, 
2112251789, Parallel performance measures for volume ray casting,1994,16, Cláudio T. Silva; Arie E. Kaufman, , 
2112269749, Generation of Accurate Integral Surfaces in Time-Dependent Vector Fields,2008,61, Christoph Garth; Hari Krishnan; Xavier Tricoche; Tom Bobach; Kenneth I. Joy, Vector field; Skeleton (computer programming); Iterative refinement; Theoretical computer science; Correctness; Algorithm design; Triangulation (social science); Computation; Mathematical optimization; Mathematics; Flow visualization, 
2046305401, Hybrid-Image Visualization for Large Viewing Environments,2013,18, Petra Isenberg; Pierre Dragicevic; Wesley Willett; Anastasia Bezerianos; Jean-Daniel Fekete, Computer vision; Theoretical computer science; Frequency domain; Hybrid image; Data visualization; Visualization; Artificial intelligence; Computer science, 
2046336997, StoryFlow: Tracking the Evolution of Stories,2013,76, Shixia Liu; Yingcai Wu; Enxun Wei; Mengchen Liu; Yang Liu, Theoretical computer science; Computer vision; Software; Continuous optimization; Computer graphics; Artificial intelligence; Visualization; Data visualization; Computer science; Scalability; Level of detail; White spaces, 
2165204255, Splatting of curvilinear volumes,1995,32, Xiaoyang Mao; Lichan Hong; Arie E. Kaufman, Volume rendering; Grid; Computer vision; Ellipsoid; Computational geometry; Sampling (statistics); Artificial intelligence; Poisson distribution; Stochastic process; Curvilinear coordinates; Computer science; Mathematical optimization, 
2112426855, Visualizing Changes of Hierarchical Data using Treemaps,2007,88, Ying Tu; Han-Wei Shen, , 
2112439337, ABySS-Explorer: Visualizing Genome Sequence Assemblies,2009,41, Cydney B. Nielsen; Shaun D. Jackman; Inanc Birol; Steven J.M. Jones, Theoretical computer science; Genomics; Iterative design; Visualization; Data visualization; Whole genome sequencing; DNA sequencing; Sequence assembly; Computer science; Communication design; Bioinformatics, 
2165276788, Visibility culling using plenoptic opacity functions for large volume visualization,2003,33, Jinzhu Gao; Jian Huang; Han-Wei Shen; James Arthur Kohl, Theoretical computer science; Volume rendering; Opacity; Massively parallel; Computer vision; Ray casting; Visualization; Geometric modeling; Scalability; Ray tracing (graphics); Artificial intelligence; Computer science, 
2165293022, Visualization of Myocardial Perfusion Derived from Coronary Anatomy,2008,21, Maurice Termeer; Javier Olivan Bescos; Marcel Breeuwer; Anna Vilanova; Frans A. Gerritsen; M.E. Groller; Eike Nagel, Computer vision; Coronary arteries; Coronary artery disease; Visualization; Data visualization; Medical simulation; Blood flow; Artificial intelligence; Artery; Perfusion; Computer science; Anatomy, 
2112478953, Heart-muscle fiber reconstruction from diffusion tensor MRI,2003,74, Leonid Zhukov; Alan H. Barr, Computer vision; Scalar (physics); Tensor; Visualization; Diffusion MRI; Geometric modeling; Artificial intelligence; Moving least squares; Magnetic resonance imaging; Tractography; Computer science, 
2165308767, Case Study: Visualizing Visualization,2004,2, van Fjj Frank Ham, Data mining; Theoretical computer science; Computer science; Visualization; Visual analytics; Graph drawing; Hierarchical clustering; Hierarchy; Cluster analysis; User interface; Information visualization, 
2112499754, Using projection and 2D plots to visually reveal genetic mechanisms of complex human disorders,2009,1, Boonthanome Nouanesengsy; Sang-Cheol Seok; Han-Wei Shen; Veronica J. Vieland, Computer science; Scalar field; Data mining; Visualization; Data visualization; Posterior probability, 
